Air temperature [K],flow speed ,pressure [N],Target,DateTime
302.6,1554,42.0,0,2022-01-01 00:00:00
301.9,1227,69.0,1,2022-01-01 01:00:00
302.5,1532,38.8,0,2022-01-01 02:00:00
298.5,1738,25.2,0,2022-01-01 03:00:00
297.2,1322,44.5,1,2022-01-01 04:00:00
300.5,1550,37.4,0,2022-01-01 05:00:00
301.5,1703,29.9,1,2022-01-01 06:00:00
302.0,1269,68.4,1,2022-01-01 07:00:00
298.9,1456,43.8,0,2022-01-01 08:00:00
298.2,1562,37.7,0,2022-01-01 09:00:00
303.7,1422,48.1,1,2022-01-01 10:00:00
302.2,1470,39.6,0,2022-01-01 11:00:00
298.5,1509,47.3,0,2022-01-01 12:00:00
301.1,1404,61.2,1,2022-01-01 13:00:00
298.0,1541,36.7,1,2022-01-01 14:00:00
298.7,1469,38.4,0,2022-01-01 15:00:00
297.5,1502,45.9,0,2022-01-01 16:00:00
296.1,1409,42.8,0,2022-01-01 17:00:00
302.7,1337,68.2,1,2022-01-01 18:00:00
298.1,1432,43.4,0,2022-01-01 19:00:00
301.0,1377,49.9,0,2022-01-01 20:00:00
302.1,1635,31.6,0,2022-01-01 21:00:00
301.5,1259,64.2,1,2022-01-01 22:00:00
302.5,1373,48.0,1,2022-01-01 23:00:00
298.6,1346,59.8,1,2022-01-02 00:00:00
302.3,1326,46.7,1,2022-01-02 01:00:00
299.2,1309,62.4,1,2022-01-02 02:00:00
304.3,1452,41.5,0,2022-01-02 03:00:00
302.7,1572,34.4,0,2022-01-02 04:00:00
302.1,1371,51.5,1,2022-01-02 05:00:00
302.1,1374,49.7,1,2022-01-02 06:00:00
300.5,1385,54.8,0,2022-01-02 07:00:00
300.0,1537,35.4,0,2022-01-02 08:00:00
303.1,1284,69.5,1,2022-01-02 09:00:00
301.4,1758,25.4,0,2022-01-02 10:00:00
300.3,1707,33.6,0,2022-01-02 11:00:00
302.2,1345,62.3,1,2022-01-02 12:00:00
298.7,2559,12.9,1,2022-01-02 13:00:00
301.5,1541,42.2,0,2022-01-02 14:00:00
301.8,1317,49.4,1,2022-01-02 15:00:00
301.0,1374,48.0,1,2022-01-02 16:00:00
297.4,1435,45.7,0,2022-01-02 17:00:00
301.4,1445,41.4,0,2022-01-02 18:00:00
300.0,1622,31.8,0,2022-01-02 19:00:00
299.9,1229,64.2,1,2022-01-02 20:00:00
303.6,1696,30.7,0,2022-01-02 21:00:00
298.0,1313,50.8,0,2022-01-02 22:00:00
302.8,1360,55.5,1,2022-01-02 23:00:00
299.9,1354,52.7,1,2022-01-03 00:00:00
302.9,1352,44.6,1,2022-01-03 01:00:00
301.0,1445,36.4,0,2022-01-03 02:00:00
299.5,1224,65.3,1,2022-01-03 03:00:00
299.8,1463,43.5,0,2022-01-03 04:00:00
300.4,1395,47.7,1,2022-01-03 05:00:00
297.8,1726,27.3,0,2022-01-03 06:00:00
297.0,1429,54.0,0,2022-01-03 07:00:00
300.9,1505,41.1,0,2022-01-03 08:00:00
299.7,1592,34.2,0,2022-01-03 09:00:00
299.8,1612,35.4,0,2022-01-03 10:00:00
303.3,1827,24.2,0,2022-01-03 11:00:00
299.6,1588,37.1,1,2022-01-03 12:00:00
301.1,1470,49.3,0,2022-01-03 13:00:00
302.5,1451,53.6,0,2022-01-03 14:00:00
303.4,1306,52.6,1,2022-01-03 15:00:00
297.1,1548,36.0,1,2022-01-03 16:00:00
298.4,1609,35.0,0,2022-01-03 17:00:00
302.7,1642,30.8,0,2022-01-03 18:00:00
303.5,2659,11.4,1,2022-01-03 19:00:00
298.6,1370,56.0,0,2022-01-03 20:00:00
301.9,1884,23.4,0,2022-01-03 21:00:00
303.2,1301,46.8,1,2022-01-03 22:00:00
297.8,1386,57.1,1,2022-01-03 23:00:00
300.0,1398,43.2,1,2022-01-04 00:00:00
304.1,1470,45.8,0,2022-01-04 01:00:00
304.3,1525,42.0,0,2022-01-04 02:00:00
302.4,1367,48.1,1,2022-01-04 03:00:00
302.0,1327,49.1,1,2022-01-04 04:00:00
302.9,1370,47.4,1,2022-01-04 05:00:00
299.6,1646,29.6,0,2022-01-04 06:00:00
300.2,1285,62.3,1,2022-01-04 07:00:00
300.2,1642,31.2,0,2022-01-04 08:00:00
302.1,1351,60.3,1,2022-01-04 09:00:00
303.6,1365,58.8,1,2022-01-04 10:00:00
296.4,2240,14.8,1,2022-01-04 11:00:00
299.6,1439,45.2,1,2022-01-04 12:00:00
302.2,1489,38.3,0,2022-01-04 13:00:00
302.5,1375,47.2,1,2022-01-04 14:00:00
302.7,1361,47.7,1,2022-01-04 15:00:00
297.5,1429,45.8,0,2022-01-04 16:00:00
296.3,1958,19.1,0,2022-01-04 17:00:00
297.8,1448,40.0,0,2022-01-04 18:00:00
298.1,1446,42.8,0,2022-01-04 19:00:00
300.3,1400,43.2,1,2022-01-04 20:00:00
298.0,1503,36.3,0,2022-01-04 21:00:00
301.5,1368,57.0,1,2022-01-04 22:00:00
300.8,1323,61.1,0,2022-01-04 23:00:00
302.7,1351,41.8,1,2022-01-05 00:00:00
300.8,1621,28.3,0,2022-01-05 01:00:00
303.3,1521,36.0,1,2022-01-05 02:00:00
300.7,1569,36.4,0,2022-01-05 03:00:00
302.5,1563,34.8,0,2022-01-05 04:00:00
297.9,1472,45.1,0,2022-01-05 05:00:00
299.0,1487,47.5,0,2022-01-05 06:00:00
298.8,2610,12.2,1,2022-01-05 07:00:00
299.0,1884,25.6,0,2022-01-05 08:00:00
303.9,1514,41.1,0,2022-01-05 09:00:00
300.9,1285,62.4,1,2022-01-05 10:00:00
300.1,1464,41.7,0,2022-01-05 11:00:00
301.9,1355,57.1,1,2022-01-05 12:00:00
298.4,1431,62.1,1,2022-01-05 13:00:00
301.1,2219,16.7,0,2022-01-05 14:00:00
301.2,1424,41.4,0,2022-01-05 15:00:00
297.9,1324,63.1,1,2022-01-05 16:00:00
298.4,1452,48.5,0,2022-01-05 17:00:00
297.7,1501,41.4,0,2022-01-05 18:00:00
299.4,1567,40.6,0,2022-01-05 19:00:00
299.1,1323,44.7,1,2022-01-05 20:00:00
302.3,1438,43.8,0,2022-01-05 21:00:00
299.2,1544,41.6,0,2022-01-05 22:00:00
301.5,1270,67.8,1,2022-01-05 23:00:00
298.3,1597,32.4,0,2022-01-06 00:00:00
301.8,1442,45.1,1,2022-01-06 01:00:00
300.7,1356,65.3,1,2022-01-06 02:00:00
301.8,1576,38.6,0,2022-01-06 03:00:00
297.0,1448,45.6,0,2022-01-06 04:00:00
300.6,1617,33.2,0,2022-01-06 05:00:00
301.0,1298,65.3,1,2022-01-06 06:00:00
297.4,1568,33.7,0,2022-01-06 07:00:00
302.4,1578,29.9,0,2022-01-06 08:00:00
298.9,2861,4.6,1,2022-01-06 09:00:00
302.4,1325,61.3,1,2022-01-06 10:00:00
298.6,1510,40.8,0,2022-01-06 11:00:00
303.3,1374,45.3,1,2022-01-06 12:00:00
302.2,1373,47.5,1,2022-01-06 13:00:00
301.6,1380,51.7,1,2022-01-06 14:00:00
299.0,1372,55.6,1,2022-01-06 15:00:00
303.6,1505,35.6,1,2022-01-06 16:00:00
303.5,1959,22.3,0,2022-01-06 17:00:00
300.8,1518,36.0,0,2022-01-06 18:00:00
301.9,1404,60.2,1,2022-01-06 19:00:00
300.0,1781,24.9,0,2022-01-06 20:00:00
300.7,1407,40.5,0,2022-01-06 21:00:00
299.6,1642,30.3,0,2022-01-06 22:00:00
299.4,1727,27.4,1,2022-01-06 23:00:00
302.6,1308,59.4,1,2022-01-07 00:00:00
298.2,1411,45.8,0,2022-01-07 01:00:00
297.8,1399,61.1,1,2022-01-07 02:00:00
304.2,1438,50.1,0,2022-01-07 03:00:00
299.4,1762,29.3,0,2022-01-07 04:00:00
301.1,1501,36.1,0,2022-01-07 05:00:00
298.0,1615,29.5,0,2022-01-07 06:00:00
301.1,1311,73.3,1,2022-01-07 07:00:00
302.4,1545,36.4,0,2022-01-07 08:00:00
301.6,1379,52.0,1,2022-01-07 09:00:00
298.8,1431,45.7,0,2022-01-07 10:00:00
303.1,1315,51.3,1,2022-01-07 11:00:00
300.0,1483,45.6,0,2022-01-07 12:00:00
301.9,1386,62.5,1,2022-01-07 13:00:00
298.1,1565,36.3,0,2022-01-07 14:00:00
300.0,1383,49.6,0,2022-01-07 15:00:00
297.2,1340,61.3,1,2022-01-07 16:00:00
300.1,1404,54.8,0,2022-01-07 17:00:00
302.7,1348,51.0,1,2022-01-07 18:00:00
299.2,1526,37.3,0,2022-01-07 19:00:00
299.9,1484,42.1,0,2022-01-07 20:00:00
299.8,1341,62.1,1,2022-01-07 21:00:00
303.6,1607,33.7,0,2022-01-07 22:00:00
297.4,1376,39.0,0,2022-01-07 23:00:00
297.7,2007,19.3,0,2022-01-08 00:00:00
298.9,1602,38.2,0,2022-01-08 01:00:00
299.3,1419,46.6,0,2022-01-08 02:00:00
300.0,1474,40.6,0,2022-01-08 03:00:00
300.6,1654,29.9,1,2022-01-08 04:00:00
298.4,1357,50.1,0,2022-01-08 05:00:00
301.9,1372,48.0,1,2022-01-08 06:00:00
302.1,1350,60.5,1,2022-01-08 07:00:00
302.9,1337,68.5,1,2022-01-08 08:00:00
301.3,1296,61.1,1,2022-01-08 09:00:00
298.1,1340,61.6,1,2022-01-08 10:00:00
301.9,1334,66.2,1,2022-01-08 11:00:00
301.9,1378,55.3,1,2022-01-08 12:00:00
299.4,1207,66.5,0,2022-01-08 13:00:00
302.8,1329,49.2,1,2022-01-08 14:00:00
302.6,1566,36.6,0,2022-01-08 15:00:00
298.6,1705,27.6,1,2022-01-08 16:00:00
302.9,1303,49.3,1,2022-01-08 17:00:00
303.0,1735,26.1,0,2022-01-08 18:00:00
299.8,1574,31.8,0,2022-01-08 19:00:00
302.2,1295,55.3,1,2022-01-08 20:00:00
300.5,1451,41.1,1,2022-01-08 21:00:00
300.4,1308,59.1,1,2022-01-08 22:00:00
300.3,1607,33.7,0,2022-01-08 23:00:00
303.1,2707,9.8,1,2022-01-09 00:00:00
297.7,1334,71.8,1,2022-01-09 01:00:00
302.0,1378,53.1,1,2022-01-09 02:00:00
300.7,1850,24.5,0,2022-01-09 03:00:00
299.3,1376,62.1,1,2022-01-09 04:00:00
299.6,2585,12.5,1,2022-01-09 05:00:00
302.8,1342,49.8,1,2022-01-09 06:00:00
297.6,1549,35.3,1,2022-01-09 07:00:00
299.0,1371,63.6,1,2022-01-09 08:00:00
300.6,2633,12.2,1,2022-01-09 09:00:00
303.9,1901,22.5,0,2022-01-09 10:00:00
300.4,1671,30.5,1,2022-01-09 11:00:00
298.7,1738,27.3,0,2022-01-09 12:00:00
301.8,1354,51.7,1,2022-01-09 13:00:00
302.2,1584,36.2,0,2022-01-09 14:00:00
300.2,1777,27.5,0,2022-01-09 15:00:00
300.7,1500,44.1,0,2022-01-09 16:00:00
302.8,1324,55.8,1,2022-01-09 17:00:00
300.3,1255,71.8,1,2022-01-09 18:00:00
298.7,1560,33.3,0,2022-01-09 19:00:00
301.6,1408,42.9,0,2022-01-09 20:00:00
301.5,1686,27.9,0,2022-01-09 21:00:00
302.2,1673,32.9,0,2022-01-09 22:00:00
300.6,1532,42.5,0,2022-01-09 23:00:00
301.7,1435,48.1,0,2022-01-10 00:00:00
303.8,1365,59.9,1,2022-01-10 01:00:00
301.5,1459,53.3,1,2022-01-10 02:00:00
299.8,1533,35.9,0,2022-01-10 03:00:00
301.6,1588,33.9,0,2022-01-10 04:00:00
302.6,1519,38.1,0,2022-01-10 05:00:00
300.5,1306,67.0,1,2022-01-10 06:00:00
299.0,1483,39.2,0,2022-01-10 07:00:00
301.1,1378,51.1,0,2022-01-10 08:00:00
298.3,1447,38.1,0,2022-01-10 09:00:00
298.1,1460,45.8,0,2022-01-10 10:00:00
302.9,1364,65.9,1,2022-01-10 11:00:00
301.9,1442,43.6,1,2022-01-10 12:00:00
303.3,1365,57.6,1,2022-01-10 13:00:00
301.5,1435,38.5,0,2022-01-10 14:00:00
300.4,1503,42.2,0,2022-01-10 15:00:00
299.2,1396,48.5,0,2022-01-10 16:00:00
301.5,1589,36.7,0,2022-01-10 17:00:00
298.3,1519,40.0,0,2022-01-10 18:00:00
301.0,1405,46.1,0,2022-01-10 19:00:00
302.4,1378,48.3,1,2022-01-10 20:00:00
302.5,1368,49.0,1,2022-01-10 21:00:00
299.9,1328,49.9,0,2022-01-10 22:00:00
302.4,1495,36.8,0,2022-01-10 23:00:00
298.1,1425,37.8,1,2022-01-11 00:00:00
303.9,1665,29.6,0,2022-01-11 01:00:00
301.8,1547,41.7,0,2022-01-11 02:00:00
302.6,1255,71.6,1,2022-01-11 03:00:00
299.4,1552,37.4,0,2022-01-11 04:00:00
300.8,1460,53.8,0,2022-01-11 05:00:00
298.8,2867,4.4,1,2022-01-11 06:00:00
300.4,1406,43.6,0,2022-01-11 07:00:00
302.8,1373,47.7,1,2022-01-11 08:00:00
300.3,1404,58.6,1,2022-01-11 09:00:00
